brand,product,processor,ram_gb,gpu,os,screen_size,price,Cpu_brand,Gpu_brand,hdd,ssd,LogPrice,storage_gb,weight_kg,total_pixels,ppi,processor_score,gpu_score,performance_score,portability_score,value_score,is_gaming,is_ultraportable,brand_encoded,product_encoded,processor_encoded,gpu_encoded,os_encoded,Cpu_brand_encoded,Gpu_brand_encoded
HP,Victus 15-fb0157AX Gaming Laptop,"Hexa Core, 12 Threads",8,4GB AMD Radeon RX 6500M,Windows 11 OS,15.6,49900,"Hexa Core,",4GB,0,512,10.81777628,512,2.0,2073600,92.3076923076923,6,5,4.4,6.0,0.8817635270541082,1,0,9,647,19,19,12,12,8
HP,15s-fq5007TU Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,39900,Hexa Core,Intel,0,512,10.5941316,512,2.0,2073600,92.3076923076923,6,2,3.5000000000000004,6.0,0.8771929824561404,0,0,9,38,18,126,12,11,17
Acer,One 14 Z8-415 Laptop,"Dual Core, 4 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,14.0,26990,"Dual Core,",Intel,0,512,10.20322171,512,2.0,2073600,102.85714285714286,3,2,2.3000000000000003,6.0,0.8521674694331235,0,0,1,440,17,123,12,10,17
Lenovo,Yoga Slim 6 14IAP8 82WU0095IN Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Integrated Iris Xe,Windows 11 OS,14.0,59729,12 Cores,Intel,0,512,10.99757294,512,2.0,2073600,102.85714285714286,8,2,4.550000000000001,6.0,0.7617740126236837,0,0,14,784,6,111,12,2,17
Apple,MacBook Air 2020 MGND3HN Laptop,Octa Core (4P + 4E),8,Apple M1 Integrated Graphics,Mac OS,13.3,69990,Octa Core,Apple,0,256,11.15610765,256,2.0,2073600,108.27067669172932,8,2,4.175000000000001,6.0,0.596513787683955,0,0,2,378,21,91,7,13,14
Acer,Extensa EX214-53 Laptop,"12 Cores (4P + 8E), 16 Threads",8,Intel Iris Xe Graphics,Windows 11 OS,14.0,39990,12 Cores,Intel,0,512,10.5963847,512,2.0,2073600,102.85714285714286,8,2,4.300000000000001,6.0,1.0752688172043012,0,0,1,159,6,123,12,2,17
Dell,Inspiron 3520 D560896WIN9B Laptop,"Hexa Core (2P + 4E), 8 Threads",8,Intel UHD Graphics,Windows 11 OS,15.6,36790,Hexa Core,Intel,0,512,10.51298135,512,2.0,2073600,92.3076923076923,6,2,3.5000000000000004,6.0,0.9513454743136723,0,0,6,299,18,126,12,11,17
Acer,Nitro V ANV15-51 2023 Gaming Laptop,"Octa Core (4P + 4E), 12 Threads",16,6GB NVIDIA GeForce RTX 4050,Windows 11 OS,15.6,76990,Octa Core,6GB,0,512,11.25143082,512,2.0,2073600,92.3076923076923,8,7,6.050000000000001,6.0,0.7858163397843877,1,0,1,411,22,53,12,13,9
Asus,Vivobook 15 X1502ZA-EJ523WS Laptop,"12 Cores (4P + 8E), 16 Threads",8,Intel Iris Xe,Windows 11 OS,15.6,48990,12 Cores,Intel,0,512,10.79937147,512,2.0,2073600,92.3076923076923,8,2,4.300000000000001,6.0,0.8777301490100022,0,0,3,688,6,121,12,2,17
Samsung,Galaxy Book2 Pro 13 Laptop,"12 Cores (4P + 8E), 16 Threads",16,Intel Iris Xe Graphics,Windows 11 OS,13.3,74990,12 Cores,Intel,0,512,11.22511005,512,2.0,2073600,108.27067669172932,8,2,4.550000000000001,6.0,0.6067475663421791,0,0,21,198,6,123,12,2,17
Lenovo,V15 G3 IAP 82TTA08AIN Laptop,"10 Cores (2P + 8E), 12 Threads",16,Intel Integrated UHD,Windows 11 OS,15.6,49990,10 Cores,Intel,0,512,10.81957826,512,2.0,2073600,92.3076923076923,7,2,4.15,6.0,0.8301660332066415,0,0,14,612,1,112,12,0,17
Ultimus,Pro NU14U3INC43BN-CS Laptop,"Dual Core, 2 Threads",4,Intel Integrated UHD Graphics,Windows 11 OS,14.1,10990,"Dual Core,",Intel,0,128,9.304741047,128,2.0,2073600,102.12765957446808,3,2,1.9875000000000003,6.0,1.8084622383985445,0,0,23,486,16,115,12,10,17
Asus,TUF Gaming F15 2022 FX507ZC4-HN116W Gaming Laptop,"12 Cores (4P + 8E), 16 Threads",16,4GB NVIDIA GeForce RTX 3050,Windows 11 OS,15.6,72990,12 Cores,4GB,0,512,11.19807772,512,2.0,2073600,92.3076923076923,8,6,5.75,6.0,0.7877791478284696,1,0,3,533,6,33,12,2,8
Primebook,4G Android Laptop,Octa Core,4,ARM Mali G72,Android 11 OS,11.6,10990,Octa Core,ARM,0,0,9.304741047,256,2.0,2073600,124.13793103448276,8,3,4.35,6.0,3.9581437670609643,0,0,18,60,20,90,0,13,13
Lenovo,V15 G4 ‎82YU00W7IN Laptop,"Quad Core, 8 Threads",8,AMD Radeon Graphics,Windows 11 OS,15.6,29990,"Quad Core,",AMD,0,512,10.30861927,512,2.0,2073600,92.3076923076923,5,3,3.4,6.0,1.1337112370790263,0,0,14,617,28,80,12,16,12
Asus,TUF Gaming F15 FX506HF-HN024W Gaming Laptop,"Hexa Core, 12 Threads",8,4GB NVIDIA GeForce RTX 2050,Windows 11 OS,15.6,53649,"Hexa Core,",4GB,0,512,10.89021811,512,2.0,2073600,92.3076923076923,6,5,4.4,6.0,0.8201457622695671,1,0,3,539,19,31,12,12,8
